,"Динамика населения на 2016 г., в %","Динамика населения на 2018 г., в %","Динамика населения на 2020 г., в %","Динамика населения на 2021 г., в %","Динамика населения на 2022 г., в %","Динамика среднедушевых денежных доходов на 2019 г., в %","Динамика среднедушевых денежных доходов на 2020 г., в %",Реальные денежные доходы в 2016 году в % к предыдущему году,Реальные денежные доходы в 2017 году в % к предыдущему году,Реальные денежные доходы в 2018 году в % к предыдущему году,Реальные денежные доходы в 2019 году в % к предыдущему году,Реальные денежные доходы в 2020 году в % к предыдущему году,"Среднемесячная номинальная начисленная заработная плата в 2020 году, руб.","Динамика среднемесячной номинальной начисленной зарплаты в 2016 г., руб.","Динамика среднемесячной номинальной начисленной зарплаты в 2017 г., руб.","Динамика среднемесячной номинальной начисленной зарплаты в 2018 г., руб.","Реальная начисленная заработная плата в 2016 году в % к предыдущему году, руб.","Реальная начисленная заработная плата в 2019 году в % к предыдущему году, руб.","Реальная начисленная заработная плата в 2020 году в % к предыдущему году, руб.","Динамика ВРП на душу населения в 2015 году, руб.","Динамика ВРП на душу населения в 2016 году, руб.","Динамика ВРП на душу населения в 2017 году, руб.","Динамика ВРП на душу населения в 2018 году, руб.","Динамика ВРП на душу населения в 2019 году, руб.","Динамика ВРП на душу населения в 2020 году, руб.","ВРП на душу населения в 2020 году, руб.","Расходы на соцполитику от общих расходов бюджета региона в 2015 году, % в год","Расходы на соцполитику от общих расходов бюджета региона в 2016 году, % в год","Расходы на соцполитику от общих расходов бюджета региона в 2017 году, % в год","Расходы на соцполитику от общих расходов бюджета региона в 2020 году, % в год","Оборот розничной торговли на душу населения в 2014 году, руб.","Оборот розничной торговли на душу населения в 2021 году, руб.","Динамика оборота розничной торговли на душу населения на 2015 г., в %","Динамика оборота розничной торговли на душу населения на 2016 г., в %","Динамика оборота розничной торговли на душу населения на 2017 г., в %","Динамика оборота розничной торговли на душу населения на 2018 г., в %","Динамика оборота розничной торговли на душу населения на 2019 г., в %","Динамика оборота розничной торговли на душу населения на 2020 г., в %","Динамика оборота розничной торговли на душу населения на 2021 г., в %","Отношение числа людей с инвалидностью в возрасте 18_30 ко всему населению в регионе на 2022 г., в %","Отношение числа людей с инвалидностью в возрасте 51_60 ко всему населению в регионе на 2022 г., в %","Отношение числа людей с инвалидностью в возрасте 60_ ко всему населению в регионе на 2022 г., в %",Динамика процента людей за чертой бедности в 2016 году,Динамика процента людей за чертой бедности в 2017 году,Динамика процента людей за чертой бедности в 2018 году,Динамика процента людей за чертой бедности в 2019 году,Динамика процента людей за чертой бедности в 2020 году,Процент малоимущих среди детей до 16 лет в 2017 году,Процент малоимущих среди населения старше трудоспособного возраста в 2017 году,Процент малоимущих среди населения трудоспособного возраста в 2017 году,Процент малоимущих среди детей до 16 лет в 2018 году,Процент малоимущих среди населения старше трудоспособного возраста в 2018 году,Процент малоимущих среди населения трудоспособного возраста в 2018 году,Процент малоимущих среди детей до 16 лет в 2019 году,Процент малоимущих среди населения старше трудоспособного возраста в 2019 году,Процент малоимущих среди населения трудоспособного возраста в 2019 году,Динамика новорождённых в 2016 году,Динамика новорождённых в 2017 году,Динамика новорождённых в 2018 году,Динамика новорождённых в 2019 году,Динамика новорождённых в 2020 году,Динамика новорождённых в 2021 году,"Отношение числа умерших за 2015 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2016 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2017 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2018 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2019 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2020 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2019 год детей в сельской местности к числу новорожденных, в %","Отношение числа умерших за 2020 год детей в сельской местности к числу новорожденных, в %"
Кировская область,-0.527007,-0.653875,-0.763064,-0.968709,-1.23127,6.099699,2.491103,92.8,98.9,98.6,101.2,97.8,32692.0,5.814269,7.737994,10.775332,99.7,104.1,104.1,11.634097,11.650393,6.396347,7.299798,5.671173,7.866028,315153.9,17.9,18.4,26.0,27.6,126231.0,190042.0,6.492066,1.818101,4.618251,6.858671,5.462317,1.148912,16.430182,0.263043,1.115988,6.520595,0.5999999999999996,-0.5,-0.200000000000001,-0.5999999999999996,-0.5999999999999996,37.6,4.9,57.5,35.9,8.0,56.0,38.0,3.9,58.1,-1.250453,-15.782712,-7.866638,-11.707663,-5.179034,-3.474903,0.2778784583786396,0.3548051630268551,0.3123411055422386,0.2680542415641753,0.2500223234217341,0.2919295602222431,0.0803643182427002,0.0847537432903286
Нижегородская область,-0.303834,-0.399081,-0.363246,-0.824054,-1.016763,7.67002,-0.50862,94.2,96.4,99.4,102.5,95.2,37601.0,7.242929,7.000246,8.431237,101.2,102.4,102.8,9.784876,16.524911,8.62459,8.785991,8.507415,-1.590946,497418.6,18.1,18.2,23.0,22.2,190206.0,278659.0,0.655079,4.780833,7.182772,6.580037,6.170744,-2.587309,17.573668,0.298417,1.114859,5.851945,-0.0999999999999996,0.1999999999999993,-0.5,0.0,-0.0999999999999996,38.7,10.9,50.4,40.1,5.6,54.3,31.9,9.7,58.5,-3.429697,-11.579192,-6.479128,-9.489302,-4.586396,-5.52662,0.5063480581676686,0.5372455832214071,0.4177255864224578,0.4404185538029049,0.3692583773337474,0.3689236111111111,0.1345895020188425,0.0940393518518518
Оренбургская область,-0.317224,-0.596555,-0.314416,-0.711353,-0.943788,4.695318,0.963934,92.0,99.9,99.0,99.9,97.7,35075.0,6.579643,4.715937,10.661323,102.0,103.9,103.8,6.339818,5.440194,7.589999,22.086965,5.15347,-4.589502,538971.9,19.1,27.5,26.5,26.6,134482.0,198494.0,3.603456,-0.944534,7.389213,5.451049,6.979378,1.327177,17.163668,0.348544,1.299142,6.098324,0.6999999999999993,-0.2999999999999989,-0.1000000000000014,0.1000000000000014,-0.3000000000000007,39.6,8.6,51.8,45.0,4.6,50.3,44.0,4.5,51.5,-5.820199,-14.447054,-4.600706,-10.330182,-4.354469,-3.477103,0.354547688419279,0.3503671400350367,0.3616085043349453,0.2694433027355345,0.2088107970460911,0.20234291799787,0.2444614209320091,0.1650692225772098
Пензенская область,-0.510099,-0.735804,-0.951367,-1.12327,-1.304208,5.343056,5.002395,90.6,100.4,98.7,100.1,100.4,32766.0,9.248879,3.556064,10.404756,103.4,101.9,102.9,16.799385,4.895101,5.642971,10.260167,10.318442,10.97731,379820.4,16.2,16.0,25.4,22.4,133259.0,199270.0,6.204459,-1.04927,6.410934,4.48933,6.515317,3.263091,16.350494,0.244965,1.145863,4.685957,0.4000000000000003,-0.6000000000000014,-0.6999999999999993,0.0999999999999996,-0.5999999999999996,39.1,8.8,52.1,34.1,8.9,57.1,43.3,7.5,49.3,-5.418277,-12.668759,-4.236651,-9.554974,-6.772793,-3.228811,0.3036996134732192,0.4232649784718674,0.3008272750062672,0.2617801047120419,0.3376748673420164,0.258718824381662,0.2122527737578388,0.1862775535547966
Самарская область,-0.20858,-0.317291,-0.110146,-0.797853,-0.711567,4.403833,1.604296,90.4,97.3,100.8,99.7,97.4,38748.0,5.385675,7.764623,10.697888,98.8,103.3,102.6,10.163156,8.050167,6.374915,12.547565,4.064743,-4.803428,505093.4,21.6,20.3,22.1,23.4,194188.0,241042.0,-5.330916,1.731979,2.570313,6.01688,6.266442,-1.425643,13.148259,0.264104,1.077331,3.861137,0.4000000000000003,-0.1999999999999993,-0.6000000000000014,0.200000000000001,-0.5999999999999996,39.4,3.6,57.0,41.7,3.1,55.1,40.5,7.3,52.3,-1.77922,-14.161117,-4.359531,-9.936741,-5.958462,-1.600972,0.4319917994777048,0.3826657389921479,0.3560573165436387,0.3632071188595296,0.309181341578169,0.3716542186327413,0.1142626697136711,0.0929135546581853
Саратовская область,-0.220415,-0.657858,-0.775151,-1.105911,-1.425905,6.226952,5.664191,93.1,99.1,102.6,100.9,100.4,33545.0,4.527699,5.053508,8.428329,99.1,109.7,104.7,10.529164,12.414762,4.526352,6.990793,5.787681,7.369162,358480.4,19.5,19.9,28.7,27.7,120725.0,188844.0,4.484572,1.954193,4.851327,8.079767,6.366905,6.223834,14.683752,0.246214,0.959864,3.212042,-0.0999999999999978,-0.3000000000000007,-1.1999999999999993,0.1999999999999993,-0.6999999999999993,38.4,6.5,55.1,39.2,7.8,53.0,41.1,5.6,53.4,-4.982776,-13.516681,-5.754573,-9.480164,-7.465131,-1.421445,0.4732245380841365,0.439447760647453,0.326050135501355,0.354944511838972,0.3077381247828461,0.2413774607091133,0.1191244353998114,0.085823097141018
Ульяновская область,-0.390321,-0.500364,-0.693789,-0.9355,-1.177852,3.952274,3.764031,93.5,98.7,94.6,98.6,99.2,32504.0,6.513175,7.890195,7.994972,100.4,103.3,102.2,9.63814,20.982661,2.595242,3.76148,9.440163,5.734547,360112.2,19.9,20.3,27.9,25.3,129143.0,185625.0,3.816699,0.399039,5.968486,5.762018,6.724778,2.666998,12.296505,0.33348,1.439904,5.465257,-0.1000000000000014,0.200000000000001,0.4000000000000003,0.1999999999999993,-0.5,39.1,5.2,55.7,31.8,5.5,62.7,33.0,5.8,61.2,-2.795341,-13.967819,-4.512535,-9.359893,-4.864368,-3.20897,0.4725457570715474,0.5066757959602876,0.3899721448467966,0.4417402900483413,0.3218390804597701,0.3092982795283201,0.1195402298850574,0.10632128358786
Курганская область,-0.91031,-1.003619,-0.902718,-1.039211,-1.595465,4.770335,2.609839,91.8,97.8,94.5,99.1,97.8,33182.0,5.760515,8.990786,10.718358,98.7,104.1,104.3,6.286536,13.661622,4.90151,3.854861,9.48997,4.802163,294464.0,18.9,16.8,29.5,26.1,117095.0,163801.0,4.318716,-0.455171,5.154775,6.512388,6.322738,1.747213,11.178155,0.351703,1.288376,5.425755,0.8999999999999986,0.0,-0.0999999999999978,0.0,-0.3000000000000007,37.7,3.5,58.9,39.4,5.6,55.0,41.6,4.6,53.8,-7.753342,-11.209798,-9.044962,-11.0558,-3.306,-2.772917,0.2759810263044416,0.3178758414360508,0.2105928187848794,0.4399166473720768,0.273330730183522,0.4172836182527931,0.2212677339580893,0.2019114281868353
Свердловская область,0.058556,-0.094356,-0.116273,-0.478208,-0.599688,6.421669,-4.399652,94.7,97.8,101.7,101.4,92.5,43256.0,5.398977,7.456412,9.470656,98.0,103.1,102.1,9.705294,15.707858,7.164668,7.434768,4.544034,0.307212,588270.0,16.6,17.0,24.1,23.5,230949.0,287048.0,3.608589,1.752736,2.338209,5.031906,6.037645,-6.354389,10.456181,0.306144,0.893268,3.666664,0.2999999999999989,-0.3999999999999986,-0.3000000000000007,-0.5999999999999996,0.0999999999999996,39.5,4.4,56.0,42.6,5.0,52.3,42.9,7.2,49.9,-3.7252,-10.517526,-6.154937,-7.986477,-4.923383,-2.243641,0.4582140904852246,0.4659240827641489,0.3975141369464195,0.3619369593318087,0.4084808403034429,0.3273396831170012,0.0691607771942337,0.0863813052669864
Ханты-Мансийский автономный округ - Югра,0.910565,0.546511,0.653987,0.774956,0.864277,4.911568,2.32108,94.5,99.6,102.2,102.6,100.4,79822.0,5.82673,4.956897,6.260585,97.4,103.0,103.5,9.258042,-1.787618,12.671814,26.011177,0.655229,-27.033445,1994630.3,11.5,12.7,16.5,15.8,224038.0,288977.0,2.236228,-2.144092,6.66512,6.014405,3.414413,-1.52303,11.955818,0.235396,0.598094,1.520702,-0.3000000000000007,-2.1,-0.5,-0.0999999999999996,-0.5,42.8,4.7,52.4,42.5,6.4,51.0,46.0,7.5,46.5,-4.274109,-9.393125,-3.479979,-7.322176,-1.037414,-4.21257,0.4620658816515128,0.3775935225193662,0.3995531878329609,0.2670702394729814,0.3986359925075645,0.3397233681145353,0.0192113731328946,0.0242659548653239
Ямало-Ненецкий автономный округ,-1.089104,0.466002,0.547574,0.471307,0.933621,4.647472,8.232236,99.8,102.5,102.0,103.5,106.8,111216.0,7.720779,8.049208,8.078899,100.8,102.2,108.0,10.268801,13.610075,20.604405,23.611869,1.052347,-11.172182,5072483.6,13.1,12.0,14.0,12.6,235512.0,293712.0,4.266025,-6.64769,3.652584,7.909666,2.16613,0.442059,11.62918,0.242521,0.531047,1.152473,-0.4000000000000003,-1.0,-0.2999999999999998,-0.2999999999999998,-0.7000000000000002,37.8,1.3,60.8,47.9,0.9,51.1,54.1,1.3,44.6,-7.852761,-8.546181,-4.447386,-5.319296,3.760059,-2.002256,0.4796430563301729,0.3389420167049994,0.3838517538054268,0.3878653553123701,0.3072421360643745,0.2115059221658206,0.2487198244330651,0.1410039481105471
Челябинская область,0.09842,-0.265167,-0.269985,-0.679645,-0.70303,4.260641,4.731563,89.9,97.3,99.7,100.1,100.8,39349.0,4.382295,4.240328,9.196044,97.8,102.4,101.7,21.480934,10.135126,6.40827,7.801164,1.984741,4.999273,467537.3,16.1,16.7,25.6,24.3,154226.0,199595.0,-4.921349,-3.851032,-0.14682,5.722322,6.478184,9.393614,15.1286,0.315977,0.889017,3.814713,0.1000000000000014,-0.6000000000000014,-0.3999999999999986,0.0,-0.200000000000001,41.3,2.8,56.0,44.2,3.2,52.6,42.8,1.0,56.2,-4.359511,-13.5803,-6.034055,-8.994374,-3.483107,0.360881,0.4964713605777121,0.4354447757352152,0.488979348689436,0.4226431043136012,0.3947521188900499,0.3067484662576687,0.1015906188319981,0.0932274750390953
Республика Алтай,0.682255,0.48662,0.600824,0.351075,0.273813,3.860944,7.015205,95.7,101.9,103.0,101.9,104.5,36269.0,9.518404,4.91568,17.620459,103.6,105.4,105.5,6.705766,11.636337,1.385791,11.20308,8.549848,5.506642,283451.4,16.5,13.0,20.6,19.8,97474.0,164472.0,3.572235,4.66837,6.023526,6.185622,11.173969,2.339385,21.515172,0.397637,1.351333,5.493796,0.8000000000000007,-0.2000000000000028,-1.3999999999999986,0.3000000000000007,-0.5,42.6,4.3,53.1,46.2,5.2,48.6,48.2,3.2,48.5,-2.759821,-11.966249,-3.165844,-10.077984,-1.43429,-2.436548,0.1243162605668821,0.2045512656609563,0.261399941911124,0.2699460107978404,0.2668445630420279,0.0338409475465313,0.8338892595063376,0.7106598984771574
Республика Тыва,0.592778,0.995762,0.912389,0.911776,0.678334,6.464219,14.165363,91.3,98.2,101.7,103.4,110.9,44104.0,5.317421,4.770685,14.489136,99.3,106.8,107.0,2.28621,21.727476,11.068401,12.258657,6.571641,3.599018,251799.9,15.4,15.0,24.5,23.8,60063.0,89480.0,14.173451,-1.168047,2.040575,5.864831,9.655257,-4.187686,16.327141,0.571241,1.510182,2.09405,0.8999999999999986,-2.0,-1.3999999999999986,-0.2999999999999971,-2.400000000000002,43.6,5.9,50.5,46.9,3.7,49.4,47.2,5.4,47.4,-0.907998,-5.983021,-6.27777,-5.826579,6.885352,0.714069,0.6542929630124182,0.5255356420967525,0.3869858105202809,0.3823214558801039,0.3410198116271516,0.2886660589486478,0.3247807729782397,0.2582801580066849
Республика Хакасия,0.183839,-0.028828,-0.3553,-0.41665,-0.695066,5.182884,5.059721,97.2,100.4,103.0,99.5,100.8,43800.0,8.618674,4.499462,11.466243,102.7,101.6,104.0,7.3315,21.692887,4.937474,11.245459,6.060744,4.520188,500422.8,13.3,13.1,24.3,24.1,123176.0,194578.0,11.434857,1.227588,5.980021,6.12407,8.910048,3.161043,10.822032,0.283909,0.755009,2.731774,-0.0999999999999978,-0.3000000000000007,-0.3000000000000007,0.5,-0.5,39.3,4.4,56.3,38.3,5.9,55.8,37.6,5.7,56.7,-4.03236,-12.249737,-6.454518,-10.494223,-3.908211,-1.884328,0.4297813171533308,0.4741833508956797,0.3152206544581207,0.3048780487804878,0.2509860164933667,0.2985074626865672,0.1434205808533524,0.0932835820895522
Алтайский край,-0.33705,-0.65943,-0.671293,-0.897653,-1.226902,4.853476,-0.304967,94.7,100.0,99.7,99.6,95.5,30072.0,5.535092,7.268182,12.205953,98.4,104.9,103.8,9.708049,9.560535,3.00304,7.061449,9.580156,7.311375,291156.9,18.8,20.4,30.9,29.7,128376.0,174321.0,5.101421,2.163424,4.373785,4.567222,6.028821,-3.704377,13.48654,0.322197,0.968001,4.565116,-0.1999999999999993,-0.3000000000000007,-0.1000000000000014,0.2000000000000028,-0.1000000000000014,38.0,6.4,55.6,42.1,5.1,52.8,38.7,3.9,57.4,-3.9847,-11.577234,-7.968658,-10.105998,-5.40323,-4.925911,0.4257442208548146,0.4295562406900613,0.4152791380999021,0.4512366438210379,0.255718141781503,0.2653183820584702,0.2841312686461145,0.2202643171806167
Красноярский край,0.269941,0.041596,-0.270387,-0.361308,-0.235653,5.743795,3.443713,97.7,100.6,101.4,100.6,99.8,54426.0,6.661861,6.869574,10.988156,100.8,104.2,105.5,17.887178,8.974839,8.325171,20.144541,13.571656,1.449548,951613.7,15.8,15.4,22.7,24.8,171796.0,222969.0,-3.739319,5.752485,1.605055,5.29568,7.783455,-2.36878,13.246617,0.354454,1.031002,3.535241,-0.5,-0.7999999999999972,-0.5,0.1999999999999993,-0.3000000000000007,39.5,4.2,56.3,39.5,8.6,51.8,40.7,4.8,54.5,-3.092383,-10.928264,-5.877225,-9.438021,-4.377804,-1.621528,0.3713772513228797,0.3857328924957419,0.4105621326734344,0.3764452809895133,0.4618632884666139,0.3760565809901673,0.1847453153866455,0.1518026565464895
Иркутская область,-0.087498,-0.195359,-0.274005,-0.676315,-0.75313,7.661455,4.808789,95.1,100.5,100.3,101.7,100.4,49885.0,8.57999,7.254295,11.975529,99.8,103.0,103.5,9.445565,13.86715,11.531886,15.421138,6.118738,-2.157474,631591.9,15.9,15.3,24.6,28.6,118287.0,200034.0,1.862419,5.036103,5.714376,8.342178,10.769846,2.688681,21.321697,0.524196,1.310405,4.698206,-0.6999999999999993,-2.0,-0.3999999999999986,0.2999999999999971,-0.2999999999999971,36.8,5.7,57.4,39.8,4.2,56.0,39.8,7.4,52.8,-4.208061,-10.002811,-3.382155,-8.465318,-4.173876,-3.872941,0.4496136553320948,0.4272062956717257,0.4778114362449642,0.4913051910272157,0.4308061725343409,0.4348306739875447,0.1730287086408418,0.1805652798761838
Кемеровская область,-0.270203,-0.515607,-0.613329,-0.918335,-1.107826,7.424674,2.198023,91.0,100.8,100.8,101.1,98.1,43429.0,6.552737,8.411091,16.463489,99.7,104.2,100.6,12.482315,7.433682,22.044016,16.096903,-11.710091,-5.792612,392374.9,17.1,16.8,25.9,23.0,122765.0,176024.0,2.780108,-0.935979,5.123323,6.766311,7.613406,1.364482,15.023557,0.348735,1.21101,4.831446,0.1000000000000014,-0.9000000000000004,-1.0,-0.3000000000000007,-0.4000000000000003,44.0,4.9,51.2,45.0,4.8,50.1,39.4,5.9,54.8,-3.34334,-13.723281,-6.56432,-8.751653,-6.676877,-3.739188,0.5621284360468538,0.5937519030509714,0.5787894829715899,0.4457034938621341,0.5257057703452273,0.4834774894655134,0.095206556834175,0.0887114659569749
Новосибирская область,0.561194,0.33437,0.171333,-0.440788,-0.199007,5.916401,3.285448,99.3,101.0,102.8,101.7,99.8,41534.0,7.505527,7.084342,10.527457,101.2,105.0,102.9,11.486153,4.58118,9.223354,10.075123,8.083064,-3.583364,485981.4,16.7,18.1,24.1,25.4,168581.0,241409.0,-4.308908,0.671349,4.698276,5.653708,6.551883,2.933448,22.525225,0.283531,0.98353,3.894015,-1.1999999999999993,-1.0000000000000018,-1.0,-0.1999999999999993,-0.0999999999999996,33.1,11.0,55.9,33.6,9.3,57.0,44.5,3.4,52.0,-1.870835,-9.989553,-5.144349,-7.790897,-4.246144,-1.960852,0.4561763198359815,0.4622616871245756,0.3626867836936022,0.3976508014193075,0.3682202687012771,0.4503724233500779,0.1293746890031514,0.117789710722328
Омская область,0.014306,-0.638775,-0.901659,-1.193254,-1.267391,6.039873,1.435087,92.1,96.9,100.1,100.2,97.3,37828.0,3.411177,5.638604,9.619845,97.6,103.4,103.7,2.456932,8.458532,5.004944,5.964007,5.916588,-0.182812,398641.0,21.1,19.7,29.9,29.0,158990.0,211880.0,-2.493239,-4.703082,9.026974,5.130657,8.766055,0.863291,14.055628,0.310713,1.011892,3.757712,0.5,-0.5,-0.5999999999999996,0.3000000000000007,-0.3000000000000007,42.0,6.3,51.7,43.3,5.0,51.7,42.5,5.8,51.7,-7.59569,-14.338723,-5.586987,-10.725655,-6.65478,-1.814607,0.3953537191239241,0.3786301162394457,0.4331683168316832,0.3932584269662921,0.4300173055744926,0.3426966292134831,0.2674497876134039,0.247191011235955
Томская область,0.2149,-0.056632,0.169754,-0.827596,-0.190127,3.974941,1.677178,91.4,98.4,99.2,98.9,97.7,48730.0,5.848829,4.124112,11.682392,98.9,103.4,103.2,9.235116,10.29035,6.325814,10.542896,1.647155,-10.279825,518179.5,15.5,16.1,23.1,23.5,115052.0,196290.0,8.464868,5.086104,4.704205,7.121268,8.079002,2.133134,20.898749,0.389589,1.043523,3.286518,0.0999999999999996,-0.1999999999999993,-0.1000000000000014,0.1000000000000014,-0.4000000000000003,38.6,4.5,57.0,39.8,3.0,57.2,40.3,6.9,52.8,-2.681625,-11.190777,-6.60915,-11.085685,-5.252121,-4.98994,0.2257490764810507,0.2741459299873471,0.3007756846604401,0.3135858971099245,0.3240873129348965,0.3319919517102616,0.1334477170908397,0.1207243460764587
Республика Бурятия,0.387227,0.038308,0.270932,-0.051322,-0.284343,4.929197,3.261042,94.0,97.9,97.8,99.3,98.8,41800.0,5.576693,7.56782,11.818718,99.5,102.6,102.2,8.289404,8.53363,1.619527,15.18194,10.459762,5.944649,307558.8,14.5,15.5,25.0,25.5,141496.0,223010.0,17.184938,2.988324,1.650787,3.707672,6.692515,3.99698,11.646232,0.431496,1.201064,4.106535,0.4000000000000021,-0.3000000000000007,0.1000000000000014,1.0,-0.2000000000000028,42.9,6.7,50.5,45.6,5.7,48.7,43.8,3.7,52.5,-5.023261,-11.241319,-2.885086,-9.912243,0.766528,-4.413629,0.3121135386608563,0.3224206349206349,0.3353126091512399,0.3236944324557617,0.3193867773874161,0.3169572107765451,0.2954327690833599,0.2297939778129952
Забайкальский край,-0.408294,-0.572484,-0.570941,-0.586487,-0.950939,7.327442,5.03301,93.3,98.9,102.1,101.9,99.9,47172.0,5.570463,6.718932,16.907713,98.6,102.9,102.9,5.817542,13.149881,10.356898,11.526302,7.934635,17.363227,402594.6,17.1,17.2,29.3,26.5,124928.0,188623.0,8.382428,5.042097,3.367153,4.925314,5.838957,0.90467,14.496695,0.411129,1.034532,4.086186,0.8000000000000007,-0.1000000000000014,-0.6000000000000014,0.1000000000000014,-0.6000000000000014,37.0,8.8,54.3,40.9,7.6,51.5,37.9,7.8,54.3,-5.711393,-9.63239,-5.011533,-7.579102,-0.605096,-4.013137,0.506223572151748,0.404244567963618,0.3424896903613615,0.515084621044886,0.3980891719745223,0.2643383530919577,0.302547770700637,0.2483178468439602
Республика Саха - Якутия,0.291881,0.155271,0.515714,1.026239,1.033024,6.103681,1.935853,97.7,99.5,102.9,102.2,99.5,77178.0,7.997291,5.433898,10.714401,100.2,102.3,101.8,13.303466,18.606088,5.656563,19.352884,7.873721,-7.194211,1168152.5,11.4,11.5,15.5,16.8,173477.0,284035.0,13.379872,7.661881,4.222745,7.327594,7.518407,-1.571378,13.30626,0.420415,1.034457,2.47935,0.4000000000000021,-0.1999999999999993,-1.0,-0.8000000000000007,-0.5,44.9,5.3,49.8,45.0,4.4,50.7,46.7,6.9,46.3,-6.288353,-9.530602,-5.159811,-3.135862,1.076527,-5.001158,0.4496020414362962,0.453838174273859,0.2938225598394726,0.3173643645156415,0.2886340588189406,0.2624064212394844,0.1560184101724003,0.254688585320676
Камчатский край,-0.363414,0.263083,-0.542382,-0.430968,0.332727,8.031503,5.12397,94.6,99.6,105.1,103.9,102.1,85623.0,6.541356,7.599863,12.292005,98.7,105.1,103.8,21.049098,28.271259,1.909133,15.33376,6.708659,5.808086,942802.0,12.8,12.6,16.4,13.3,143851.0,239715.0,10.702741,3.598812,3.807174,5.974577,8.792172,2.483692,18.464359,0.253594,0.664526,2.239178,0.5999999999999979,-0.8999999999999986,-1.0,-0.9000000000000004,-0.3000000000000007,31.3,5.2,63.5,45.9,0.9,53.2,46.4,0.0,53.6,-1.710843,-8.972787,-6.948559,-4.428365,-1.87765,-4.938272,0.6024096385542169,0.7354743809757294,0.4578507945057905,0.4052098408104196,0.6662628709872804,0.3395061728395062,0.211992731677771,0.0925925925925926
Приморский край,-0.222417,-0.524097,-0.360011,-0.950699,-0.789895,6.539761,1.141447,94.3,99.8,103.8,101.9,96.9,50105.0,5.531399,6.637329,10.918649,99.1,106.7,103.1,11.978631,20.271634,5.719629,7.104034,10.985213,3.793816,582950.7,19.8,15.2,25.3,23.5,147683.0,272134.0,19.826249,3.856173,6.386741,8.915995,10.618995,-2.204846,18.124995,0.263283,0.839984,3.199444,0.1000000000000014,-1.4000000000000004,-1.0,-0.4000000000000003,-0.5,36.1,5.9,58.0,39.5,4.4,56.1,41.0,7.7,51.3,-4.263881,-10.852121,-4.648283,-8.935618,-0.943396,-3.610188,0.564994715876758,0.4712775442618774,0.4667333428585035,0.3346486189501024,0.4552435278630978,0.3820598006644518,0.1810004387889425,0.1439645625692137
Хабаровский край,-0.280429,-0.374411,-0.441174,-1.103339,-0.165165,6.076655,0.677778,95.5,97.8,101.5,100.7,96.2,53113.0,5.43624,5.873993,11.03968,97.8,101.6,101.9,10.688761,13.113852,4.003432,9.604689,5.939844,8.089297,658239.5,16.6,17.4,22.9,25.7,178673.0,301099.0,13.727312,7.395177,5.914484,5.822164,7.248836,5.954918,8.331594,0.271521,0.717872,2.785575,-1.0999999999999996,-0.5,-0.3000000000000007,0.0,-0.1999999999999993,38.8,6.8,54.4,35.4,5.2,59.4,43.2,13.7,43.2,-6.165028,-10.799666,-5.703755,-4.074467,-5.11085,-3.391804,0.507216063585024,0.4903872945110059,0.5497594802274005,0.4306346892805088,0.3591408246425858,0.3857631559793289,0.048345880240348,0.0363927505640876
Амурская область,-0.516624,-0.415091,-0.397129,-1.037664,-1.192179,7.651033,6.5908,92.1,101.1,102.4,101.7,100.3,52430.0,2.841773,10.435322,13.2386,96.0,106.0,105.2,19.94641,7.806586,1.011015,12.293604,24.089937,9.653781,571362.1,19.2,28.9,26.3,21.7,163781.0,276635.0,11.423792,4.949285,5.490202,6.261198,7.650637,6.109565,12.804965,0.426523,1.124753,4.675059,1.8000000000000007,-0.3000000000000007,-1.0999999999999996,0.0999999999999996,-0.5,39.9,6.0,54.1,40.6,4.6,54.8,33.9,7.2,58.9,-3.747333,-9.125952,-5.73701,-10.912364,-0.833439,-6.494333,0.482330025044059,0.2891008962127782,0.2969247083775185,0.3262459219259759,0.3409521404217704,0.3692856233286642,0.2020457128425306,0.1655418311473322
Магаданская область,-1.165657,-1.016006,-0.768229,-0.795582,-0.911288,9.340181,8.426029,93.9,102.3,104.4,103.1,104.3,102843.0,5.717013,8.515243,13.103949,98.9,105.9,105.0,31.522516,23.370267,5.998673,10.626869,22.793669,34.052542,2035007.0,9.8,10.6,13.4,11.1,174694.0,289171.0,7.482226,7.869411,5.439393,5.972148,6.11987,2.354661,17.636697,0.248245,0.621339,1.718118,0.0999999999999996,-1.9000000000000004,-1.5999999999999996,-0.1999999999999993,-0.6000000000000014,32.2,14.8,53.0,30.7,11.5,57.8,45.8,0.0,54.2,-7.644039,-1.729463,-11.376493,-7.234043,0.458716,-9.056317,0.513405590416429,0.3705991352686844,0.3771213073538655,0.3546099290780142,0.6116207951070336,0.30441400304414,0.0,0.0
