,"Отношение числа умерших за 2015 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2016 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2017 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2018 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2019 год детей в городской местности к числу новорожденных, в %","Отношение числа умерших за 2020 год детей в городской местности к числу новорожденных, в %"
Республика Башкортостан,0.408811406176093,0.353629640267107,0.389768574908648,0.29334240285689994,0.3354666793557136,0.27440505099562895
Республика Марий Эл,0.44216661642046023,0.2613149367617853,0.30686142138210387,0.2554450121000269,0.35982008995502246,0.30111412225233364
Республика Мордовия,0.24160732451678535,0.2382445141065831,0.2905287623474724,0.2563329312424608,0.2686366689053056,0.16192875134940626
Республика Татарстан,0.4604650345348776,0.3831486222763325,0.39073054141120234,0.34758203799654575,0.37554524037227965,0.3125150247608058
Республика Удмуртия,0.3379139445821131,0.2711187214611872,0.32304778879358365,0.25547445255474455,0.2533899465826599,0.2750085940185631
Республика Чувашия,0.18671957054498775,0.21947204779613488,0.21510002151000218,0.2985988821682872,0.22292720569321786,0.15034934111612275
Пермский край,0.39689698719105176,0.38343969539336087,0.3843269591301087,0.35904210276733395,0.3031096807993115,0.34470602060401895
Кировская область,0.2778784583786396,0.3548051630268551,0.31234110554223865,0.26805424156417534,0.2500223234217341,0.29192956022224315
Нижегородская область,0.5063480581676686,0.5372455832214071,0.41772558642245783,0.4404185538029049,0.36925837733374745,0.3689236111111111
Оренбургская область,0.354547688419279,0.3503671400350367,0.3616085043349453,0.2694433027355345,0.20881079704609118,0.20234291799787005
Пензенская область,0.3036996134732192,0.42326497847186745,0.3008272750062672,0.2617801047120419,0.3376748673420164,0.258718824381662
Самарская область,0.43199179947770483,0.3826657389921479,0.3560573165436387,0.36320711885952967,0.30918134157816907,0.3716542186327413
Саратовская область,0.47322453808413656,0.439447760647453,0.32605013550135503,0.354944511838972,0.3077381247828461,0.24137746070911334
Ульяновская область,0.47254575707154745,0.5066757959602876,0.38997214484679665,0.44174029004834137,0.3218390804597701,0.3092982795283201
Курганская область,0.2759810263044416,0.31787584143605085,0.21059281878487943,0.43991664737207686,0.27333073018352205,0.41728361825279314
Свердловская область,0.4582140904852246,0.4659240827641489,0.39751413694641957,0.3619369593318087,0.40848084030344295,0.32733968311700123
Ханты-Мансийский автономный округ - Югра,0.46206588165151286,0.37759352251936623,0.39955318783296095,0.2670702394729814,0.3986359925075645,0.3397233681145353
Ямало-Ненецкий автономный округ,0.4796430563301729,0.3389420167049994,0.38385175380542685,0.38786535531237015,0.30724213606437456,0.21150592216582065
Челябинская область,0.49647136057771213,0.43544477573521523,0.48897934868943604,0.42264310431360125,0.3947521188900499,0.3067484662576687
Республика Алтай,0.12431626056688214,0.2045512656609563,0.26139994191112403,0.2699460107978404,0.26684456304202797,0.0338409475465313
Республика Тыва,0.6542929630124182,0.5255356420967525,0.3869858105202809,0.38232145588010397,0.34101981162715167,0.28866605894864783
Республика Хакасия,0.4297813171533308,0.4741833508956797,0.3152206544581207,0.3048780487804878,0.25098601649336677,0.2985074626865672
Алтайский край,0.4257442208548146,0.4295562406900613,0.4152791380999021,0.4512366438210379,0.25571814178150304,0.2653183820584702
Красноярский край,0.37137725132287974,0.3857328924957419,0.4105621326734344,0.3764452809895133,0.4618632884666139,0.3760565809901673
Иркутская область,0.44961365533209485,0.4272062956717257,0.47781143624496425,0.4913051910272157,0.4308061725343409,0.4348306739875447
Кемеровская область,0.5621284360468538,0.5937519030509714,0.5787894829715899,0.4457034938621341,0.5257057703452273,0.4834774894655134
Новосибирская область,0.45617631983598156,0.46226168712457566,0.3626867836936022,0.3976508014193075,0.36822026870127716,0.45037242335007793
Омская область,0.39535371912392414,0.3786301162394457,0.4331683168316832,0.39325842696629215,0.4300173055744926,0.34269662921348315
Томская область,0.22574907648105075,0.2741459299873471,0.3007756846604401,0.31358589710992457,0.32408731293489657,0.3319919517102616
Республика Бурятия,0.3121135386608563,0.3224206349206349,0.33531260915123995,0.32369443245576174,0.31938677738741617,0.31695721077654515
Забайкальский край,0.506223572151748,0.404244567963618,0.34248969036136157,0.515084621044886,0.3980891719745223,0.2643383530919577
Республика Саха - Якутия,0.44960204143629623,0.453838174273859,0.2938225598394726,0.31736436451564154,0.2886340588189406,0.26240642123948443
Камчатский край,0.6024096385542169,0.7354743809757294,0.4578507945057905,0.40520984081041966,0.6662628709872804,0.3395061728395062
Приморский край,0.564994715876758,0.47127754426187746,0.46673334285850354,0.3346486189501024,0.4552435278630978,0.38205980066445183
Хабаровский край,0.507216063585024,0.4903872945110059,0.5497594802274005,0.43063468928050885,0.3591408246425858,0.3857631559793289
Амурская область,0.48233002504405903,0.28910089621277824,0.29692470837751855,0.32624592192597596,0.34095214042177047,0.3692856233286642
Магаданская область,0.513405590416429,0.3705991352686844,0.3771213073538655,0.3546099290780142,0.6116207951070336,0.30441400304414
Сахалинская область,0.4963898916967509,0.24467472654001152,0.3965736040609137,0.19903798308177145,0.38643948708940806,0.3577177606868181
