,Динамика процента людей за чертой бедности в 2016 году,Динамика процента людей за чертой бедности в 2017 году,Динамика процента людей за чертой бедности в 2018 году,Динамика процента людей за чертой бедности в 2019 году,Динамика процента людей за чертой бедности в 2020 году
Камчатский край,0.5999999999999979,-0.8999999999999986,-1.0,-0.9000000000000004,-0.3000000000000007
Ярославская область,0.1999999999999993,-0.3000000000000007,-0.5,0.10000000000000142,-0.40000000000000036
Рязанская область,-0.1999999999999993,0.5,-0.3000000000000007,-0.3000000000000007,0.10000000000000142
Республика Чувашия,0.9000000000000021,-0.40000000000000213,-0.5999999999999979,-0.40000000000000213,-0.5999999999999979
Республика Дагестан,2.0,1.5,0.09999999999999964,0.0,0.20000000000000107
Республика Хакасия,-0.09999999999999787,-0.3000000000000007,-0.3000000000000007,0.5,-0.5
Алтайский край,-0.1999999999999993,-0.3000000000000007,-0.10000000000000142,0.20000000000000284,-0.10000000000000142
Тульская область,-0.5999999999999996,-0.09999999999999964,0.09999999999999964,0.3000000000000007,-0.20000000000000107
Республика Саха - Якутия,0.40000000000000213,-0.1999999999999993,-1.0,-0.8000000000000007,-0.5
Приморский край,0.10000000000000142,-1.4000000000000004,-1.0,-0.40000000000000036,-0.5
Республика Башкортостан,-0.5,-0.1999999999999993,-0.3000000000000007,0.09999999999999964,-0.5
Астраханская область,1.9000000000000021,-0.6000000000000014,-0.40000000000000036,0.40000000000000036,0.09999999999999964
Республика Карачаево-Черкессия,1.0,-0.6000000000000014,-0.3999999999999986,0.5,-0.10000000000000142
Белгородская область,-0.40000000000000036,-0.2999999999999998,-0.2999999999999998,0.2999999999999998,-0.5999999999999996
Республика Крым,0.1999999999999993,-3.900000000000002,-2.099999999999998,-0.10000000000000142,0.0
Пензенская область,0.40000000000000036,-0.6000000000000014,-0.6999999999999993,0.09999999999999964,-0.5999999999999996
Архангельская область,-1.299999999999999,-1.0,-1.4000000000000004,0.1999999999999993,-0.3999999999999986
Тюменская область,0.8000000000000007,-0.09999999999999964,-1.0999999999999996,0.09999999999999964,-0.8000000000000007
